76,SASPCProgrammer,9.2A,SASPCProgrammer_9.2A_100000.ini
77,SASPCProgrammer,9.2B,SASPCProgrammer_9.2B_100000.ini
78,SASPCProgrammer,9.2C,SASPCProgrammer_9.2C_100000.ini
79,SASRequirements,9.2,SASRequirements_9.2_100000.ini
80,Silverlight,3.0,Silverlight_3.0_100000.ini
81,Silverlight,5.0,Silverlight_5.0_100000.ini
82,SnagIt,11.1.0.248,SnagIt_11.1.0.248_100000.ini
83,SnagIt,9.1.0,SnagIt_9.1.0_100000.ini
84,SNAPReporter,3.2.1.48,SNAPReporter_3.2.1.48_100000.ini
85,StarTeamClient,2008R2Patch12,StarTeamClient_2008R2Patch12_100000.ini
86,StretchBreakPro,6.3.4,StretchBreakPro_6.3.4_100000.ini
87,StretchBreakPro,6.3.4r1,StretchBreakPro_6.3.4r1_100000.ini
88,TeradataCLIModule,12.00.00.08,TeradataCLIModule_12.00.00.08_100000.ini
89,TeradataCLIModule,13.10.00.08,TeradataCLIModule_13.10.00.08_100000.ini
90,TeradataDotNetDataProvider,13.11.00.01,TeradataDotNetDataProvider_13.11.00.01_100000.ini
91,TeradataGSS,13.10.5.1,TeradataGSS_13.10.5.1_100000.ini
92,TeradataICU,13.10.0.2,TeradataICU_13.10.0.2_100000.ini
93,TeraDataODBC,13.10.00.09,TeraDataODBC_13.10.00.09_100000.ini
94,TeradataSQLAssistant,13.11.00.06,TeradataSQLAssistant_13.11.00.06_100000.ini
95,TNSNAMES.ORA,22-Jun-2009,TNSNAMES.ORA_22-Jun-2009_100000.ini
96,Visio,2007,Visio_2007_100000.ini
97,WebexConnect,6.1.5,WebexConnect_6.1.5_100000.ini
98,WebExMeetingManager,8.17.2100,WebExMeetingManager_8.17.2100_100000.ini
99,WebExNetworkRecordingPlayer,2.17.2100,WebExNetworkRecordingPlayer_2.17.2100_100000.ini
100,WebexPollingEditor,1.1.4917,WebexPollingEditor_1.1.4917_100000.ini
101,WebexProductivityTools,2.17.2100,WebexProductivityTools_2.17.2100_100000.ini
102,WebExSupportManager,7.17.2100,WebExSupportManager_7.17.2100_100000.ini
103,WebexTrainingCenter,5.17.2100,WebexTrainingCenter_5.17.2100_100000.ini
104,WebexUniversalToolkit,2.7.1100,WebexUniversalToolkit_2.7.1100_100000.ini
105,Win7-WLAN-MS,2.1,Win7-WLAN-MS_2.1_100000.ini
